-23.596253,-46.686974
-23.592718,-46.684249
-23.593507,-46.691697
-23.588030,-46.686633
-23.586024,-46.679531
-23.583615,-46.682835
-23.588472,-46.685882
-23.588383,-46.685228
-23.592768,-46.684649
-23.592915,-46.685132
-23.592964,-46.685400
-23.593623,-46.691526
-23.593810,-46.691301
-23.594036,-46.691044
-23.594341,-46.690711
-23.594803,-46.690153
-23.599276,-46.682836
-23.599312,-46.682912
-23.599823,-46.681721
-23.600187,-46.681013
-23.595419,-46.682161
-23.595625,-46.680906
-23.568604,-46.692397
-23.568014,-46.692933
-23.567930,-46.692139
-23.560867,-46.671556
-23.561083,-46.671245
-23.594059,-46.691222
-23.594187,-46.691179
-23.594266,-46.690879
-23.594394,-46.690171
-23.594366,-46.689856

